frame,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8,X9,Y9,X10,Y10,X11,Y11,X12,Y12,X13,Y13,X14,Y14,X15,Y15,X16,Y16,X17,Y17,X18,Y18,X19,Y19,X20,Y20,X21,Y21,X22,Y22,X23,Y23,X24,Y24,X25,Y25,X26,Y26,X27,Y27,X28,Y28,X29,Y29,X30,Y30,X31,Y31,X32,Y32,X33,Y33,X34,Y34,X35,Y35,X36,Y36,X37,Y37,X38,Y38,X39,Y39,Xa,Ya,Xb,Yb,Xc,Yc,Xd,Yd,Xe,Ye,Xf,Yf,Xg,Yg
1,389.7931,48.24138,181.75862,81.39655,340.2736,103.71698,406.94446,109.63131,470.98572,109.292854,532.7267,133.77333,561.76666,138.34445,519.2364,166.84546,260.6757,190.4392,489.29413,209.34558,338.98215,209.39285,146.65384,213.42308,385.89795,257.65308,579.3485,259.23737,318.01282,278.47437,473.95795,281.2757,516.3231,342.5476,245.475,343,429.16666,366.3611,424.04544,423.77274,477.44846,450.06702,375.3923,214.03847,145.7,154.82,324.77274,467.01514,221.91667,218.91667,191.34848,85.43939,230.25,56.475,46.285713,176.92857,586.8281,89.484375,597.6759,221.28703,254.56,91.72,196.64,375,43.280487,53.40244,83.67857,27.654762,303.3,182.5,142.08333,420.58334,479.92856,61.48901,86.5,245.33333,260.34616,476.80768,195.83577,171.73358,174.48325,214.89107,140.96913,256.64197,343.73572,320.25,593.90094,337.08527,197.33139,383.38373,554.32825,421.87424
2,390.05634,49.725353,182.17741,81.26344,340.45575,102.93363,407.00876,108.850876,470.82352,109.257355,532.5,133.55344,560.7432,138.36487,519.3785,167.78972,260.8611,190.81944,491.76416,211.98112,336.29593,208.08163,144.85294,219.82353,384.12106,255.68947,580.06305,259.90335,320.15958,278.39362,474.66327,281.15308,516.18256,343.51587,244.97728,344.43182,428.83026,366.1055,426.63794,432.06897,477.7,448.01764,378.5,217.90475,138.24467,157.43617,325.39655,470.5345,220.5303,221.34848,191.06757,85.45946,235.07692,57.48077,47.327587,183.18965,585.9793,90.83058,596.9151,220.66037,256.41177,92.833336,194.70512,376.16666,45.5,51.666668,85.20909,28.481817,312.9889,181.52222,143.125,425.4375,480.90164,62.64754,92.1875,247.4375,260.9,477.4,197.17949,166.91667,174.65707,214.01309,141.78026,255.72293,343.28888,320.21112,593.514,336.48605,196.58383,380.91318,553.9754,420.92624
3,393.04166,51.90278,182.03192,80.88298,340.5,102.81148,406.20706,109.459595,471.04688,109.32031,533.2655,132.46552,559.0098,134.69608,520.13715,167.91592,260.71118,191.68634,490.047,211.42308,338.76,209.52,141.5,220.71428,382.3,255.13,579.78156,261.7136,315.63727,275.7255,474.03775,280.37735,517.87665,341.48053,248.76923,345.67307,426.92856,365.42307,428.17856,433.67856,475.7549,447.38235,376.0625,218.54688,140.18494,158.03424,324.07895,469.5,224.33333,222.29167,192.58333,83.39815,236.6892,57.337837,51.66854,178.47752,586.2561,89.55691,596.2525,222.5198,257.38635,95.34091,197.39285,379.2143,47.6,49.4,82.02631,29.263159,312.98,182.08,145.98148,424.57407,481.02844,63.849594,89.59524,245.30952,260.2,477.6,198.73494,165.30724,175.2377,214.20493,143.28659,254.59756,344.15384,323.57693,595.24054,336.21698,195.85556,379.65,556.6406,422.5
4,391.19537,52.182117,182.60527,84.5,337.82877,105.5274,406.5099,110.31188,470.7985,109.04478,533.76953,133.52837,554.87036,140.7963,519.1442,169.98077,260.8701,190.88583,492.21875,209.70312,339.90475,210.30952,141.31482,216.61111,383.8721,254.19768,579.5887,262.10483,318.09702,273.7388,476.16,280.5,520.0242,344.7097,245.66129,345.00537,425.15347,363.98514,423.67285,431.31482,477.94186,448.89536,378.41306,219.63043,143.92105,159.13158,323.56668,468.16666,222.44916,222.38136,192.71349,82.79214,235.92,54.1,51.06383,175.12766,588.7258,90.629036,593.972,221.084,257.04385,95.63158,199.00769,378.85385,47.205883,50.67647,82.111115,30.277779,313.13333,181.13333,144.69481,427.46103,481.21295,64.23148,90.09375,245.5625,256.57693,477.5,197.96626,164.38344,175.21053,214.41052,140.94171,255.13803,343.315,322.38,593.64886,335.08606,194.86905,381.19644,557.8856,422.78757
5,393.77206,53.84559,181.00467,80.23832,340.88834,103.70388,404.9643,111.6875,470.8672,109.67969,532.5464,134.32782,553.8333,139.07576,522.00793,170.83333,260.3905,188.4854,489.68988,207.96835,338.14487,208.81776,142.89622,216.65094,383.86365,250.10606,579.4898,262.85715,314.77274,274.96753,476.76495,280.4402,522.4697,345.40152,248.31818,345.72726,423.8646,363.10416,420.1,431.1857,477.87778,449.4222,379.86584,219.20732,141.26666,161.11667,329.13934,469.87704,220.33157,220.12105,193.67073,80.902435,235.20708,53.914143,51.160194,173.62622,589.668,86.588,593.18646,220.19492,254.66,94.1,202.2381,380.0238,46.583332,51.25,81.5,30.444445,316.35367,182.79268,149.52777,428.05554,480.5959,64.5274,92.954544,242.77272,254.83333,476.16666,200.69867,164.53311,176.4267,213.79843,139.27058,254.3353,342.01938,324.34497,594.3532,334.83945,193.95403,381.13794,556.50616,423.86197
6,394.99496,55.11616,181.11017,81.33898,338.5098,104.5,405.772,112.388,471.0951,108.56748,532.35187,133.26297,557.7455,136.27272,518.9352,172.02777,259.2415,189.54762,489.16327,208.77551,335.98544,208.68446,143.83333,219.23334,384.3,252.55,579.34705,264.59412,310.84784,275.28262,478.61505,279.99557,521.09485,346.94827,247.14516,348.0484,423.93243,362.5,420.5909,429.4394,477.39523,449.50952,376.83804,216.72536,142.18657,163.23134,332.58334,468.95834,220.35869,220.78261,191.16667,81.309525,234.68867,52.150944,50.833332,172.69298,590.0537,89.91322,593.7315,226.34259,259.07626,92.17796,199.7,383.22,45.264706,53.205883,82.5,29.461538,320.05814,183.40698,148.92105,425.76315,485.85455,64.318184,88.088234,243.91176,255.65,476.55,200.65384,163.71153,177.68785,214.50552,140.2125,251.55624,343.12354,324.4941,593.1619,332.15237,192.47025,383.1012,555.44476,422.721
7,395.27173,52.760868,179.44174,80.34466,340.01724,102.215515,404.67117,112.815315,470.75735,108.94853,533.1917,133.15413,559.70654,136.33696,520.2826,173.31522,259.60416,189.85417,489.26035,208.97107,333.92593,208.75926,143.60146,220.23914,383.8735,249.8253,578.6607,260.66965,314.92465,275.4452,478.6402,280.5,523.63336,344.3,249.625,347.9375,425.1129,364.59677,420.225,430.75,477.31052,449.28946,378.4375,217.625,142.14516,163.79033,332.7,465.1,219.13637,228.04546,195.5,82.41111,232.60257,53.01282,50.88889,173.83333,590.9146,90.54065,594.708,228.34,258.39523,92.03333,199.46153,382.03845,38.31818,56.136364,82.63158,31.657894,320.68918,183.14865,144.9918,426.0082,485.51086,67.25,89.57143,241.07143,252.67241,474.84482,201.13954,161.40698,177.97514,218.08011,141.21005,248.64201,341.4054,326.1419,591.0289,333.40668,192.09279,382.24228,555.03534,423.52524
8,397.19232,54.225273,180.74706,79.58235,339.15,103.575,405.3158,111.76316,470.77133,108.887596,535.92426,134.94698,563.6059,137.55882,519.83673,170.64285,259.72,189.34,488.5404,208.36868,331.70456,208.11363,146.91176,219.5,386.925,248.7,579.7111,259.9111,312.08334,274.41666,477.29486,282.43588,521.11536,346.2846,249.43549,351.14517,425.48215,366.76785,419.95,433.35,477.34338,448.30722,374.81033,217.36208,141.53076,164.31538,331.83334,471.92856,214.7829,229.35527,194.03488,84.62791,237.23451,51.738937,49.25,170.53125,592.96155,90.36325,600.11584,229.55084,258.3426,93.43519,201.8793,381.4655,37.13158,54.657894,83.66216,30.797297,316.87143,181.91429,146.04762,428.42856,485.661,67.067795,85.891304,243.15218,255.58333,476.16666,201.90764,159.95222,178.85165,219.9066,140.22316,249.82204,339.56668,325.6111,591.6564,330.68484,191.66571,380.24286,557.1343,423.59143
9,398.04868,52.765488,182.26923,78,338.63254,104.1265,407.08694,112.36957,470.92856,108.88312,534.88806,135.70149,560.8226,138.69354,519.48334,168.96666,259.7047,190.35039,489.08594,211.5625,333.65958,209.2766,148.78261,217.58696,383.95456,243.95454,578.3,261.5909,315.05554,278.71112,477.10825,281.0567,523.09186,342.58163,246.0493,349.1479,423.75882,365.37057,420.36206,429.5,481.23077,449.19232,381.81482,218.03703,140.62,162.9,326.4149,470.67023,213.703,230.96617,196.54903,82.47059,239.56557,52.48361,47.6875,173.0625,593.6071,88.72857,603.00616,230.91153,258.14517,93.231186,203.20589,381.85294,41,53.695652,84.770836,29.354166,319.70834,183.70833,146.3421,428.3158,483.21817,63.327274,85.72414,238.1207,253.47437,474.39743,201.26163,160.19186,180.31952,220.82195,140.63333,249.72424,342.36472,325.04117,591.68335,331.45834,190.27596,380.72952,559.1121,423.00934
10,398.38235,53.166668,185.87778,78.54444,336.40244,101.597565,410.2027,113.04054,470.57587,108.9069,534.81036,133.99655,566.91815,139.5,522.9559,166.79411,259.02228,189.91402,488.116,210.012,331.57407,209.30556,145.58696,216.78261,385.85898,249.6282,583.3279,259.69672,315.59677,281.58066,477.9353,283.79413,526.1667,343.21796,247.83333,345.9762,426.66666,365.33334,420.15714,432.24286,478.06,451.24667,378.68518,220.72223,141.4178,163.18494,324.80768,469.65384,213.01892,227.78648,196.81,85.7,238.19388,55.867348,47.02174,174.69565,593.6579,87.612785,601.96313,231.2254,255.31319,91.28022,202.675,380.45,44,53.3,84.35185,27.296297,320.67947,182.47437,143.67567,425.5811,482.51694,61.51695,83.375,238.5,254.58696,476.58694,202.26143,160.47462,180.76804,219.7629,139.08286,247.63142,342.51242,327.24533,592.2801,330.2469,190.55113,381.17615,559.41534,422.4312
